"type","name","res_id","src","value "
"field","account.account,code",0,"Code","Codi"
"field","account.account,reconcile",0,"Reconcile","Conciliar"
"help","account.account,reconcile",0,"Check this account if the user can make a reconciliation of the entries in this account.",
"field","account.account,sign",0,"Sign","Signe"
"help","account.account,sign",0,"Allows to change the displayed amount of the balance to see positive results instead of negative ones in expenses accounts",
"field","account.account,company_currency_id",0,"Company Currency",
"field","account.account,active",0,"Active","Actiu"
"field","account.account,child_id",0,"Children","Fills"
"field","account.account,currency_id",0,"Secondary Currency","Moneda"
"help","account.account,currency_id",0,"Force all moves for this account to have this secondary currency.",
"field","account.account,name",0,"Name","Nom"
"model","account.account,name",7670,"AUTOMOVILES GRAU SABADELL, SA",
"model","account.account,name","account.minimal_0","Minimal account chart",
"model","account.account,name",7627,"Explotación",
"model","account.account,name",1287,"Pla Comptable TC TRATAMIENTOS TERMICOS CATALUNYA SL.",
"model","account.account,name",2607,"Pla Comptable TJ CIAL de TRATAMIENTOS TERMICOS S.A.",
"model","account.account,name",4852,"Pla Comptable TL TRATAMIENTOS TERMICOS CARRERAS S.A.",
"model","account.account,name",7,"Pla Comptable BD TRATAMIENTOS TERMICOS CEM SA",
"model","account.account,name",7304,"Balance de situación",
"model","account.account,name",7363,"Explotación",
"model","account.account,name",7392,"Balance de situación",
"model","account.account,name",7451,"Explotación",
"model","account.account,name",7480,"Balance de situación",
"model","account.account,name",7539,"Explotación",
"model","account.account,name",7568,"Balance de situación",
"model","account.account,name",4853,"Capital",
"model","account.account,name",8,"Capital",
"model","account.account,name",1288,"Capital",
"model","account.account,name",2608,"Capital",
"model","account.account,name",9,"Capital social",
"model","account.account,name",4854,"Capital social",
"model","account.account,name",2609,"Capital social",
"model","account.account,name",1289,"Capital social",
"model","account.account,name",1290,"Capital ordinario",
"model","account.account,name",2610,"Capital ordinario",
"model","account.account,name",10,"Capital ordinario",
"model","account.account,name",4855,"Capital social",
"model","account.account,name",1291,"Capital privilegiado",
"model","account.account,name",1292,"Capital sin derecho voto",
"model","account.account,name",1293,"Capital derechos restrin.",
"model","account.account,name",1294,"Fondo social",
"model","account.account,name",2611,"Reservas",
"model","account.account,name",1295,"Reservas",
"model","account.account,name",1296,"Prima de emision acciones",
"model","account.account,name",1297,"Reserva por revalorizacio",
"model","account.account,name",2612,"Reserva legal",
"model","account.account,name",1298,"Reserva legal",
"model","account.account,name",2613,"Reserva legal",
"model","account.account,name",1299,"Reservas especiales",
"model","account.account,name",1300,"Reservas sociedad dominan",
"model","account.account,name",1301,"Reservas acciones propias",
"model","account.account,name",1302,"Reservas estatutarias",
"model","account.account,name",2614,"Reserva voluntaria",
"model","account.account,name",1303,"Reservas voluntarias",
"model","account.account,name",2615,"Reserva voluntaria",
"model","account.account,name",1304,"Reserva capital amortizad",
"model","account.account,name",1305,"Otras reservas",
"model","account.account,name",4856,"Resultados pendiente de",
"model","account.account,name",2616,"Resultados pend.aplicacio",
"model","account.account,name",1306,"Resultados pdtes. aplica.",
"model","account.account,name",1307,"Remanente",
"model","account.account,name",2617,"Res.neg.ejer.anteriores",
"model","account.account,name",1308,"Resultados neg.ejer.ant.",
"model","account.account,name",2618,"Res.neg.ejer.anteriores",
"model","account.account,name",1309,"Aportaciones compen. pdas",
"model","account.account,name",4857,"Perdidas y ganancias",
"model","account.account,name",2619,"Perdidas y ganancias",
"model","account.account,name",1310,"Perdidas y ganancias",
"model","account.account,name",2620,"Perdidas y ganancias",
"model","account.account,name",4858,"Perdidas y ganancias",
"model","account.account,name",2621,"Ingresos a distribuir en",
"model","account.account,name",1311,"Ingresos a distribuir",
"model","account.account,name",2622,"Subvenciones oficiales",
"model","account.account,name",1312,"Subvenciones oficiales",
"model","account.account,name",1313,"Subvenciones del estado",
"model","account.account,name",2623,"Subvencion proyecto fit",
"model","account.account,name",1314,"Subvenciones otras admin.",
"model","account.account,name",1315,"Subvenciones de capital",
"model","account.account,name",1316,"Ingresos interese difer.",
"model","account.account,name",1317,"Diferencias posit.mon.ext",
"model","account.account,name",1318,"Provision para riesgos",
"model","account.account,name",1319,"Provision pensiones y",
"model","account.account,name",1320,"Provision pensiones y",
"model","account.account,name",1321,"Provision pensiones y",
"model","account.account,name",1322,"Provision para impuestos",
"model","account.account,name",1323,"Provision para impuestos",
"model","account.account,name",1324,"Provision para impuestos",
"model","account.account,name",1325,"Provision para responsab.",
"model","account.account,name",1326,"Provision para responsanb",
"model","account.account,name",1327,"Provision para responsabi",
"model","account.account,name",1328,"Provision grandes repar.",
"model","account.account,name",1329,"Provision reparaciones",
"model","account.account,name",1330,"Provision reparaciones",
"model","account.account,name",1331,"Fondo de reversion",
"model","account.account,name",1332,"Fondo de reversion (largo",
"model","account.account,name",1333,"Fondo de reversion (corto",
"model","account.account,name",1334,"Emprestitos y analogos",
"model","account.account,name",1335,"Obligaciones y bonos",
"model","account.account,name",1336,"Obligaciones y bonos ",
"model","account.account,name",1337,"Obligaciones y bonos",
"model","account.account,name",1338,"Obligaciones y bonos",
"model","account.account,name",1339,"Obligaciones y bonos",
"model","account.account,name",1340,"Obligaciones y bonos",
"model","account.account,name",1341,"Obligaciones y bonos",
"model","account.account,name",1342,"Oblig. y bonos convertibl",
"model","account.account,name",1343,"Otros valores negociables",
"model","account.account,name",1344,"Deudas largo plazo grupo/",
"model","account.account,name",1345,"Deudas con empresas grupo",
"model","account.account,name",1346,"Prestamos (grupo)",
"model","account.account,name",1347,"Otras deudas (grupo)",
"model","account.account,name",1348,"Deudas con empresas asoc.",
"model","account.account,name",1349,"Deudas entidades cred.",
"model","account.account,name",1350,"Deudas entidades cred.",
"model","account.account,name",1351,"Proveedores inmoviliz.",
"model","account.account,name",1352,"Proveedores inmoviliz.",
"model","account.account,name",4859,"Prestamos recibidos otros",
"model","account.account,name",2624,"Prestamos recibidos otros",
"model","account.account,name",1353,"Prestamos recibidos otros",
"model","account.account,name",4860,"Deudas l/p entidades ",
"model","account.account,name",2625,"Deudas l/p entidades",
"model","account.account,name",1354,"Deudas a largo entidades",
"model","account.account,name",1355,"Prestamos recibidos",
"model","account.account,name",2626,"Leas.(bs) 38175",
"model","account.account,name",2627,"Leas.(bs) 43079",
"model","account.account,name",2628,"Leas.(bs) 46599",
"model","account.account,name",2629,"Leas.(bs) 56303",
"model","account.account,name",2630,"Prestamo banco sabadell",
"model","account.account,name",2631,"Leas.(db) 0850015923",
"model","account.account,name",4861,"Leas.(bs) 62210 mercedes",
"model","account.account,name",2632,"Prestamo banco sabadell",
"model","account.account,name",4862,"Leas.(bs) carretilla",
"model","account.account,name",4863,"Leas.(bs) horno ipsen",
"model","account.account,name",4864,"Leas.(bs) 65997 focus",
"model","account.account,name",4865,"Leasing (bs) 252",
"model","account.account,name",4866,"Leas.(bs) 57276",
"model","account.account,name",1356,"Otras deudas",
"model","account.account,name",1357,"Deudas a largo plazo",
"model","account.account,name",1358,"Transformables en subven.",
"model","account.account,name",1359,"Proveedores de inmoviliz.",
"model","account.account,name",1360,"Efectos a pagar proveedo.",
"model","account.account,name",1361,"Fianzas y depositos recib",
"model","account.account,name",1362,"Fianzas recibidas",
"model","account.account,name",1363,"Depositos recibidos",
"model","account.account,name",1364,"Situaciones transitorias",
"model","account.account,name",1365,"Accionistas desmb. no",
"model","account.account,name",1366,"Accionistas desemb. no",
"model","account.account,name",1367,"Accionistas desemb. no",
"model","account.account,name",1368,"Accionistas aportaciones",
"model","account.account,name",1369,"Accionistas aport. no",
"model","account.account,name",1370,"Accionistas aport. no",
"model","account.account,name",1371,"Socios parte no desembols",
"model","account.account,name",1372,"Accionistas propias situ.",
"model","account.account,name",4867,"Gastos de establecimiento",
"model","account.account,name",1373,"Gastos de establecimiento",
"model","account.account,name",4868,"Gastos de constitucion",
"model","account.account,name",1374,"Gastos de constitucion",
"model","account.account,name",4869,"Gastos de constitucion",
"model","account.account,name",1375,"Gastos primer establec.",
"model","account.account,name",1376,"Gastos ampliacion capital",
"model","account.account,name",4870,"Inmovilizaciones ",
"model","account.account,name",2633,"Inmovilizaciones",
"model","account.account,name",1377,"Inmovilizaciones inmater.",
"model","account.account,name",4871,"Gastos de investigacion y",
"model","account.account,name",1378,"Gastos investig. y desar.",
"model","account.account,name",4872,"Gastos de investigacion y",
"model","account.account,name",1379,"Concesiones administrat.",
"model","account.account,name",4873,"Propiedad industrial",
"model","account.account,name",1380,"Propiedad industrial",
"model","account.account,name",1381,"Propiedad industrial",
"model","account.account,name",4874,"Propiedad industrial",
"model","account.account,name",1382,"Propiedad industrial",
"model","account.account,name",1383,"Fondo de comercio",
"model","account.account,name",1384,"Derechos de traspaso",
"model","account.account,name",1385,"Aplicaciones informaticas",
"model","account.account,name",2634,"Derechos sobre bienes en",
"model","account.account,name",2635,"Leasing espect.leco",
"model","account.account,name",2636,"Leasing opel zafira",
"model","account.account,name",2637,"Leasing opel astra",
"model","account.account,name",2638,"Leasing mercedes c220",
"model","account.account,name",1386,"Anticipos inmov. inmater.",
"model","account.account,name",4875,"Inmovilizaciones",
"model","account.account,name",2639,"Inmovilizaciones material",
"model","account.account,name",1387,"Inmovilizacones material.",
"model","account.account,name",4876,"Terrenos y ",
"model","account.account,name",1388,"Terrenos y bienes natura.",
"model","account.account,name",4877,"Terrenos y ",
"model","account.account,name",4878,"Terreny (9000m2)",
"model","account.account,name",4879,"Construcciones",
"model","account.account,name",1389,"Construcciones",
"model","account.account,name",4880,"Construcciones",
"model","account.account,name",4881,"Instalaciones tecnicas",
"model","account.account,name",1390,"Instalaciones tecnicas",
"model","account.account,name",4882,"Instalaciones tecnicas",
"model","account.account,name",4883,"Maquinaria",
"model","account.account,name",2640,"Maquinaria",
"model","account.account,name",1391,"Maquinaria",
"model","account.account,name",4884,"Maquinaria",
"model","account.account,name",2641,"Conjuntos reactor",
"model","account.account,name",2642,"Maquinaria 98",
"model","account.account,name",2643,"Maquinaria 97",
"model","account.account,name",2644,"Maquinaria 96",
"model","account.account,name",2645,"Maquinaria 95",
"model","account.account,name",2646,"Maquinaria 94",
"model","account.account,name",2647,"Grua puente monorrail",
"model","account.account,name",2648,"Horno standard 800 mm.",
"model","account.account,name",2649,"Horno diam.1500mm.",
"model","account.account,name",2650,"Reactor cvd proy.fit",
"model","account.account,name",2651,"Bascula electronica",
"model","account.account,name",2652,"Horno ipsen",
"model","account.account,name",2653,"Reactor lp cvd",
"model","account.account,name",2654,"Equipo desengrasado",
"model","account.account,name",2655,"Cuba desengrasar",
"model","account.account,name",2656,"Frig.2p edesa 2d 228",
"model","account.account,name",2657,"Sistema centrifugo",
"model","account.account,name",2658,"Maquina espiral",
"model","account.account,name",2659,"Bombo centrifugo otec",
"model","account.account,name",2660,"Maquina espectometro",
"model","account.account,name",4885,"Utillaje",
"model","account.account,name",1392,"Utillaje",
"model","account.account,name",4886,"Utillaje",
"model","account.account,name",4887,"Otras instalaciones",
"model","account.account,name",2661,"Otras instalaciones",
"model","account.account,name",1393,"Otras instalaciones",
"model","account.account,name",4888,"Otras instalaciones",
"model","account.account,name",2662,"Otras instalaciones 99",
"model","account.account,name",2663,"Otras instalaciones 98",
"model","account.account,name",2664,"Otras instalaciones 97",
"model","account.account,name",2665,"Otras instalaciones 96",
"model","account.account,name",2666,"Otras instalaciones 95",
"model","account.account,name",2667,"Otras instalaciones 94",
"model","account.account,name",2668,"Fujitsu aire acondicion.",
"model","account.account,name",2669,"Ventanas aluminio",
"model","account.account,name",4889,"Mobiliario",
"model","account.account,name",2670,"Mobiliario",
"model","account.account,name",1394,"Mobiliario",
"model","account.account,name",4890,"Mobiliario",
"model","account.account,name",2671,"Mesa ordenador",
"model","account.account,name",2672,"Mobiliario 99",
"model","account.account,name",2673,"Mobiliario 98",
"model","account.account,name",2674,"Mobiliario 97",
"model","account.account,name",2675,"Mobiliario 96",
"model","account.account,name",2676,"Mobiliario 95",
"model","account.account,name",2677,"Mobiliario 94",
"model","account.account,name",2678,"Mobiliario oficina",
"model","account.account,name",4891,"Equipos para procesos de",
"model","account.account,name",2679,"Equipos para procesos de",
"model","account.account,name",1395,"Equipos procesos informa.",
"model","account.account,name",4892,"Equipos para procesos de",
"model","account.account,name",2680,"Ordenador amd k7 700",
"model","account.account,name",2681,"E.p.i. 99",
"model","account.account,name",2682,"E.p.i. 98",
"model","account.account,name",2683,"E.p.i. 97",
"model","account.account,name",2684,"E.p.i.96",
"model","account.account,name",2685,"E.p.i.95",
"model","account.account,name",2686,"E.p.i.94",
"model","account.account,name",2687,"Impresora deskjet 840",
"model","account.account,name",2688,"Sai salicru sps 800",
"model","account.account,name",2689,"Scanner a4",
"model","account.account,name",2690,"Ordenador",
"model","account.account,name",2691,"Impresora",
"model","account.account,name",2692,"Ordenador pentium iii",
"model","account.account,name",2693,"Ordenador pentium iii 800",
"model","account.account,name",2694,"Monitores 21 eizo",
"model","account.account,name",2695,"Monitores 21 eizo",
"model","account.account,name",2696,"Ordenador ultrabyte/impre",
"model","account.account,name",2697,"Ordenador celeron 633",
"model","account.account,name",2698,"Ordenador pentium iii",
"model","account.account,name",2699,"Ordenador portatil ibm",
"model","account.account,name",2700,"Hp deskjet 960c",
"model","account.account,name",2701,"Impr.laserjet color 4550",
"model","account.account,name",2702,"Ordenador piv",
"model","account.account,name",2703,"Scaner hp 7400/impresora",
"model","account.account,name",2704,"Ordenador ub p4 1.7 ghz",
"model","account.account,name",2705,"Impresora hp deskjet 980",
"model","account.account,name",2706,"Impresora hp 960",
"model","account.account,name",2707,"Impresora epson lq680",
"model","account.account,name",2708,"Ordenador hp vectra vl420",
"model","account.account,name",2709,"Monitor gvision portatil",
"model","account.account,name",2710,"Ordenador up p4",
"model","account.account,name",2711,"Sai pulsar evolution 2200",
"model","account.account,name",2712,"Ordenador ub p4 2.6 ddr",
"model","account.account,name",2713,"Sai alpha 500",
"model","account.account,name",2714,"Monitor 17 ref.rubi",
"model","account.account,name",2715,"Ordenador ub cubo 200p",
"model","account.account,name",2716,"Fotocop.sharp sf2218",
"model","account.account,name",2717,"Cisco 837 adsl,monitor",
"model","account.account,name",4893,"Elementos de transporte",
"model","account.account,name",2718,"Elementos de transporte",
"model","account.account,name",1396,"Elementos de transporte",
"model","account.account,name",4894,"Elementos de transporte",
"model","account.account,name",2719,"Elementos de transporte",
"model","account.account,name",2720,"Vehiculo bmw 528 i",
"model","account.account,name",2721,"Vehiculo renault scenic ",
"model","account.account,name",2722,"Camion iveco",
"model","account.account,name",2723,"Nissan patrol",
"model","account.account,name",2724,"Opel zafira",
"model","account.account,name",2725,"Opel astra",
"model","account.account,name",4895,"Otro inmovilizado mater.",
"model","account.account,name",2726,"Otro inmovilizado",
"model","account.account,name",1397,"Otro inmovilizado mater.",
"model","account.account,name",4896,"Otro inmovilizado mater.",
"model","account.account,name",2727,"Otro inmovilizado 99",
"model","account.account,name",2728,"Otro inmovilizado 98",
"model","account.account,name",2729,"Otro inmovilizado 96",
"model","account.account,name",2730,"Otro inmovilizado 95",
"model","account.account,name",2731,"Otro inmovilizado 94",
"model","account.account,name",2732,"Microscopio",
"model","account.account,name",2733,"Ocular micrometrico",
"model","account.account,name",2734,"Maquina polaroid",
"model","account.account,name",2735,"Telescopio meade 2045d",
"model","account.account,name",2736,"Camara video presenco",
"model","account.account,name",1398,"Inmov.materiales en curso",
"model","account.account,name",1399,"Adaptacion terrenos biene",
"model","account.account,name",1400,"Construcciones en curso",
"model","account.account,name",1401,"Maq. e instal. en montaje",
"model","account.account,name",1402,"Maquinaria en montaje",
"model","account.account,name",1403,"Eq.proc.informac. en mont",
"model","account.account,name",1404,"Anticipos inmovil. mater.",
"model","account.account,name",1405,"Inversiones financ. grupo",
"model","account.account,name",1406,"Participaciones empresas",
"model","account.account,name",1407,"Participaciones empresas",
"model","account.account,name",1408,"Valores de renta fija",
"model","account.account,name",1409,"Valores de renta fija",
"model","account.account,name",1410,"Creditos a largo plazo",
"model","account.account,name",1411,"Creditos a largo plazo",
"model","account.account,name",1412,"Intereses largo plazo ",
"model","account.account,name",1413,"Intereses largo plazo",
"model","account.account,name",1414,"Desembolsos pendientes",
"model","account.account,name",1415,"Desembolsos pendientes",
"model","account.account,name",11,"Otras inversiones",
"model","account.account,name",4897,"Otras inversiones",
"model","account.account,name",1416,"Otras inversiones financ.",
"model","account.account,name",4898,"Inversiones permanentes",
"model","account.account,name",1417,"Inversiones en capital",
"model","account.account,name",1418,"Acciones con cotizacion",
"model","account.account,name",4899,"Inversiones permanentes",
"model","account.account,name",1419,"Acciones sin cotizacion",
"model","account.account,name",1420,"Otras inversiones financ.",
"model","account.account,name",1421,"Valores de renta fija",
"model","account.account,name",1422,"Creditos a largo plazo",
"model","account.account,name",1423,"Creditos enajenacion inmo",
"model","account.account,name",4900,"Creditos a largo plazo",
"model","account.account,name",12,"Creditos a largo plazo al",
"model","account.account,name",1424,"Creditos al personal",
"model","account.account,name",4901,"Credito personal",
"model","account.account,name",2737,"Credito personal",
"model","account.account,name",13,"Credit personal",
"model","account.account,name",1425,"Credito personal",
"model","account.account,name",1426,"Int.largo valores renta ",
"model","account.account,name",1427,"Intereses a largo de cdts",
"model","account.account,name",1428,"Imposiciones a largo pla.",
